English,Mandarin,Fuzhounese,Category
Easy ,容易,ke4 wa1 ,adjective
To go,去,koh3,verb
Market ,超市,chui2 chei3,daily-life
Get off Work,下班,dou1 man4,daily-life
Bathroom,厕所,qi1 soh1,daily-life
To see ,看见,kan4 yan3,verb
To be at ,在,ga1 ,verb
When? ,什么时候,nian4 ao3 ,daily-life
Cell phone,手机,chui2 gi1,daily-life
Phone ,电话,dian3 wa4 ,daily-life
You,你,nü1,daily-life
I ,我,nguai1 ,daily-life
Cup,被子,bui1 bui1 ,daily-life
To Walk,走路,giang3 nuo2,verb
To run,跑步,pao3 bo2,verb
To sleep,睡觉,koh4 kong2,verb
To read,看书,kan3 jü1,verb
Study ,读书,ter1 jü1,verb
Eat,吃饭,xie3 buong2,verb
Play,玩,ka1 liu4,verb
Funny,好笑,hou1 chui2 ,Adjective
Pretty,很漂亮,san1 ya zhong2,Adjective
Fat,胖,ya biu4,Adjective
Not allowed,不可以,me1 lai1,Adjective
This little? ,这么少,ji3 ni4 giang1,phrases
Not good looking,不好看,me1 hoh1 an2,Adjective
To order,订,diang3 ,verb
Method ,办法,bein4 hua2 ,daily-life
A little faster,快一点,ka3 ni1 ah1,phrases
Week,星期,neh1 wai2,daily-life
To pay,出钱,chü3 jian4,verb
To get ,拿,doh4 ,verb
Not this fast,没有这么快,miu3 ji1 a2,phrases
One ,一,ei23,numbers
Two,二,nei3,numbers
Three,三,san1,numbers
Four,四,sei3,numbers
Five,五,ngou3,numbers
Six,六,leoi1 ,numbers
Seven,七,chei3,numbers
Eight,八,bai3,numbers
Nine,九,gao1,numbers
Ten,十,sei1,numbers
Monday ,星期一,buai4 ei2,daily-life
Tuesday,星期二,buai4 nei3,daily-life
Wednesday,星期三,buai1 san1,daily-life
Thursday,星期四,buai4 sei3,daily-life
Friday,星期五,buai4 ngou3 ,daily-life
Saturday,星期六,buai1 leoi1,daily-life
Sunday,星期天,ne1 wai3 ,daily-life
She,她,yi1,daily-life
He,他,yi1,daily-life
It,它,yi1,daily-life
We,我们,noong2 a1,daily-life
Am (State of Being),是,sei3,verb
Is,是,sei3,verb
Are,是,sei3,verb
Where are you?,你在哪里?,nü1 ga1 deong2 ner1,daily-life
Home,家,cuo3,daily-life
I am at home,我在家里,nguai1 ga1 cuo3 li,phrases
Am (location),在(地点）,ga1 ,daily-life
Library,图书馆,du3 ü4 guan1,places
Police Station,警察局,Ging3 lia4 bo4,places
School,学校,hao2 hao3,places
Same,一样,soh3 sai34,Adjective
Different,不同,me1 noh3 nai34,Adjective
Red,红色,eong4 sai3 ,colors
Yellow,黄色,ngong4 sai3,colors
Green,绿色,luo4 sai3,colors
Blue,蓝色,lan4 sai3,colors
Black,黑色,wu1 sai3,colors
White ,,,colors
Purple,紫色,jie1 sai3,colors
White ,白色,ba4 sai3,colors
Orange,橙色,zein4 sai3,colors
This ,这,zi14,daily-life
What,什么,sie4 noh3 ,daily-life
Color,颜色,lang3 lai34,colors
What color is this? ,这是什么颜色,zi14 sei3 sie4 noh3 lang3 lai34,phrases
Hello,你好,nü1 hoh1,greetings
One person,一个人,soh3 ye2 nern4,family
Two people,两个人,nan3 ye2 nern4,family
Three people,三个人,san4 ye2 nern4,family
Four people,四个人,si4 ye2 nern4,family
Five people,五个人,wu2 ye2 nern4,family
Six people,六个人,noi4 jie2 nern4,family
Seven people,七个人,qi1 jie2 nern4,family
Eight people,八个人,bei1 jie2 nern4,family
Nine people,九个人,gao1 ye2 nern4,family
Ten people ,十个人,sei3 jie2 nern4,family
Person,人,nern4,family
How many? ,几个,gui1 ye2,phrases
How many people does your family have? ,,nü1 cuo3 ou3 gui1 ye2 nern4,family
To have,有,ou3,verb
Mom,妈妈,yi ma1,family
Dad,爸爸,yi ba1,family
Your mom,你妈,nü2 ma1,family
How old are you? ,你几岁了,nü gu1 wei3 oh?,family
Older sister,姐姐,yi jia1,family
Younger sister,妹妹,yi miu3,family
Older brother,哥哥,yi goh1 ,family
Younger brother,弟弟,yi die3,family
So many people,这么多人,zi2 ma1 na nern4,phrases
